"source","target"
"<strong>Warning:</strong> The advertiser profile <strong>%1$s</strong> is already integrated with the store <strong>%2$s</strong>, if you choose to integrate another store with the advertiser profile, the pixel is going to be removed from <strong>%3$s</strong>.","<strong>Attenzione:</strong> il profilo di inserzionista <strong>%1$s</strong> è già integrato con lo store <strong>%2$s</strong>. Se scegli di integrarlo con un altro store, il pixel verrà rimosso da <strong>%3$s</strong>."
"AdRoll Integration","Integrazione di AdRoll"
"Advertiser profile","Profilo di inserzionista"
"Are you sure you want to remove the AdRoll pixel from the store ""%s""?","Vuoi davvero rimuovere il pixel di AdRoll dallo store ""%s""?"
"Cancel","Annulla"
"Continue","Continua"
"In order to track your potential customers across devices and browsers, this integration will send email addresses collected on your site to AdRoll for data and email services. AdRoll may persistently store and use hashed versions of these email addresses and combine these with email hashes from other customers to improve our services.","Per tracciare i tuoi potenziali clienti su più dispositivi e browser, questa integrazione invierà gli indirizzi e-mail raccolti sul tuo sito ad AdRoll, che li utilizzerà per servizi di e-mail e dati. AdRoll potrebbe archiviare e utilizzare in modo permanente versioni convertite in hash di tali indirizzi e-mail e combinarle con gli indirizzi e-mail convertiti in hash di altri clienti al fine di migliorare i nostri servizi."
"No AdRoll pixel configured","Nessun pixel di AdRoll configurato"
"Please select the store you want to integrate with AdRoll profile <strong>%s</strong>","Seleziona lo store che vuoi integrare con il profilo di AdRoll <strong>%s</strong>"
"Remove AdRoll pixel","Rimuovi pixel di AdRoll"
"Select the store","Seleziona lo store"
"Store","Store"
"This is the list of all your stores along with the installed AdRoll Pixel, you can delete the pixel by pressing on the button in the third column. You can also <a href=""%1$s"">Configure your AdRoll advertiser profiles</a> and <a href=""%2$s"">integrate an existing advertiser profile to your Magento store</a>","Questo è l'elenco di tutti i tuoi store insieme al pixel di AdRoll installato. Puoi eliminare il pixel selezionando il pulsante nella terza colonna. Puoi anche <a href=""%1$s"">configurare i tuoi profili di inserzionisti di AdRoll</a> e <a href=""%2$s"">integrare un profilo esistente con il tuo store Magento</a>"
"Unknown name","Nome sconosciuto"
