"source","target"
"<strong>Warning:</strong> The advertiser profile <strong>%1$s</strong> is already integrated with the store <strong>%2$s</strong>, if you choose to integrate another store with the advertiser profile, the pixel is going to be removed from <strong>%3$s</strong>.","<strong>ご注意ください：</strong>広告主プロフィール<strong>%1$s</strong>は<strong>%2$s</strong>と既に連携済みです。この広告主プロフィールで他のストアとの外部連携を実行すると、ピクセルが<strong>%3$s</strong>から削除されます。"
"AdRoll Integration","AdRoll外部連携"
"Advertiser profile","広告主プロフィール"
"Are you sure you want to remove the AdRoll pixel from the store ""%s""?","ストア「%s」からAdRollピクセルを削除しますか？"
"Cancel","キャンセル"
"Continue","続行"
"In order to track your potential customers across devices and browsers, this integration will send email addresses collected on your site to AdRoll for data and email services. AdRoll may persistently store and use hashed versions of these email addresses and combine these with email hashes from other customers to improve our services.","複数のデバイスやブラウザを利用する潜在顧客をトラッキングするため、この外部連携ではお客様サイトでメールアドレスを収集します。これらのデータはAdRollが取得後、データサービスやメールサービスに使用します。AdRollはこれらのメールアドレスを必ずハッシュ化した上で保管、使用します。また弊社サービスの向上のため、他の顧客のハッシュ化アドレスと組み合わせて使用する場合があります。"
"No AdRoll pixel configured","AdRollピクセルが設定されていません"
"Please select the store you want to integrate with AdRoll profile <strong>%s</strong>","AdRollプロフィール<strong>%s</strong>と連携させるストアを選択してください"
"Remove AdRoll pixel","AdRollピクセルを削除"
"Select the store","ストアを選択"
"Store","ストア"
"This is the list of all your stores along with the installed AdRoll Pixel, you can delete the pixel by pressing on the button in the third column. You can also <a href=""%1$s"">Configure your AdRoll advertiser profiles</a> and <a href=""%2$s"">integrate an existing advertiser profile to your Magento store</a>","AdRollピクセルがインストールされたストアの一覧を以下に表示しています。ピクセルを削除する場合は、3列目のボタンをクリックしてください。また、<a href=""%1$s"">AdRollの広告主プロフィールの設定</a>や、<a href=""%2$s"">既存の広告主プロフィールとMagentoストアとの連携</a>操作もこの画面で可能です。"
"Unknown name","不明な名前です"
