"source","target"
"<strong>Warning:</strong> The advertiser profile <strong>%1$s</strong> is already integrated with the store <strong>%2$s</strong>, if you choose to integrate another store with the advertiser profile, the pixel is going to be removed from <strong>%3$s</strong>.","<strong>Waarschuwing:</strong> het adverteerderprofiel <strong>%1$s</strong> is al geïntegreerd met de winkel <strong>%2$s</strong>. Indien u ervoor kiest om een andere winkel te integreren met het adverteerderprofiel, wordt de pixel verwijderd uit <strong>%3$s</strong>."
"AdRoll Integration","AdRoll-integratie"
"Advertiser profile","Adverteerderprofiel"
"Are you sure you want to remove the AdRoll pixel from the store ""%s""?","Weet u zeker dat u de AdRoll-pixel uit de winkel ""%s"" wilt verwijderen?"
"Cancel","Annuleren"
"Continue","Doorgaan"
"In order to track your potential customers across devices and browsers, this integration will send email addresses collected on your site to AdRoll for data and email services. AdRoll may persistently store and use hashed versions of these email addresses and combine these with email hashes from other customers to improve our services.","Om uw potentiële klanten op verschillende apparaten en browsers te tracken worden met deze integratie e-mailadressen die op uw website worden verzameld naar AdRoll verzonden voor gegevens- en e-maildiensten. Het is mogelijk dat AdRoll gehashte versies van deze e-mailadressen bewaart en gebruikt, en ze combineert met e-mailhashes van andere klanten, om onze diensten te verbeteren."
"No AdRoll pixel configured","Geen AdRoll-pixel geconfigureerd"
"Please select the store you want to integrate with AdRoll profile <strong>%s</strong>","Selecteer de winkel die u wilt integreren met het AdRoll-profiel <strong>%s</strong>"
"Remove AdRoll pixel","AdRoll-pixel verwijderen"
"Select the store","Selecteer de winkel"
"Store","Winkel"
"This is the list of all your stores along with the installed AdRoll Pixel, you can delete the pixel by pressing on the button in the third column. You can also <a href=""%1$s"">Configure your AdRoll advertiser profiles</a> and <a href=""%2$s"">integrate an existing advertiser profile to your Magento store</a>","Dit is de lijst met al uw winkels, samen met de geïnstalleerde AdRoll-pixel. U kunt de pixel verwijderen door op de knop in de derde kolom te drukken. U kunt ook <a href=""%1$s"">uw AdRoll-adverteerderprofielen configureren</a> en <a href=""%2$s"">een bestaand adverteerderprofiel integreren in uw Magento-winkel</a>"
"Unknown name","Onbekende naam"
